landmark,bodypart,region,x,y
0,wrist,wrist,.52,1
1,thumb_cmc,thumb,.35,.88
2,thumb_mpc,thumb,.25,.7
3,thumb_ip,thumb,.15,.58
4,thumb_tip,thumb,.02,.48
5,index_finger_mcp,index,.38,.45
6,index_finger_pip,index,.33,.31
7,index_finger_dip,index,.3,.2
8,index_finger_tip,index,.27,.1
9,middle_finger_mcp,middle,.52,.44
10,middle_finger_pip,middle,.51,.29
11,middle_finger_dip,middle,.51,.12
12,middle_finger_tip,middle,.51,0
13,ring_finger_mcp,ring,.63,.48
14,ring_finger_pip,ring,.67,.33
15,ring_finger_dip,ring,.69,.21
16,ring_finger_tip,ring,.7,.08
17,pinky_mcp,pinky,.78,.58
18,pinky_pip,pinky,.83,.49
19,pinky_dip,pinky,.9,.4
20,pinky_tip,pinky,.96,.31